Sex,Length,Height,Whole.weight,binaryClass
M,0.515,0.125,0.955,N
M,0.545,0.145,0.873,N
M,0.74,0.185,1.65,N
M,0.565,0.15,1.1285,N
M,0.56,0.16,1.1115,N
M,0.545,0.125,0.9745,N
M,0.645,0.185,1.4605,N
M,0.575,0.13,1.0105,N
M,0.62,0.16,1.0765,N
F,0.605,0.165,1.2225,N
M,0.605,0.16,1.616,N
F,0.475,0.15,0.559,N
M,0.365,0.085,0.2205,P
F,0.46,0.115,0.44,P
M,0.53,0.135,0.879,N
M,0.48,0.15,0.6815,N
M,0.455,0.15,0.5795,N
I,0.35,0.11,0.209,P
M,0.37,0.105,0.224,P
I,0.34,0.075,0.1765,P
I,0.35,0.075,0.196,P
I,0.35,0.08,0.192,P
I,0.39,0.09,0.3095,P
I,0.395,0.095,0.313,P
I,0.415,0.105,0.3595,P
I,0.43,0.1,0.3855,P
I,0.48,0.115,0.5785,P
M,0.49,0.12,0.674,P
F,0.49,0.105,0.5265,P
F,0.56,0.16,1.0315,P
M,0.56,0.14,0.9,P
M,0.58,0.15,1.0165,P
F,0.58,0.18,1.2495,P
M,0.59,0.135,1.1685,P
F,0.595,0.165,1.148,N
M,0.6,0.15,1.089,N
M,0.61,0.155,1.0325,P
F,0.63,0.15,1.172,N
M,0.64,0.17,1.3715,N
F,0.65,0.185,1.5055,N
M,0.71,0.2,1.9045,N
M,0.74,0.2,2.4925,N
I,0.25,0.065,0.0805,P
I,0.28,0.065,0.111,P
I,0.325,0.075,0.152,P
I,0.35,0.095,0.199,P
I,0.36,0.09,0.219,P
I,0.365,0.105,0.2155,P
I,0.37,0.09,0.2565,P
I,0.375,0.09,0.257,P
I,0.38,0.095,0.2505,P
I,0.395,0.09,0.279,P
I,0.43,0.105,0.378,P
I,0.44,0.125,0.456,P
I,0.465,0.1,0.5055,P
F,0.465,0.115,0.4705,P
M,0.48,0.13,0.643,P
I,0.485,0.1,0.513,P
F,0.49,0.115,0.569,P
I,0.495,0.145,0.578,P
I,0.5,0.11,0.596,P
F,0.505,0.12,0.5725,P
M,0.52,0.12,0.6435,P
M,0.52,0.125,0.8115,P
F,0.525,0.125,0.7115,P
M,0.55,0.155,0.9155,P
F,0.555,0.145,0.8815,P
F,0.555,0.11,0.931,P
F,0.575,0.165,1.065,P
M,0.6,0.155,1.1385,P
F,0.61,0.16,1.234,N
F,0.61,0.175,1.2635,N
F,0.61,0.16,1.0745,P
M,0.615,0.19,1.403,P
M,0.62,0.165,1.1325,P
F,0.625,0.16,1.1115,N
F,0.625,0.17,1.255,N
M,0.625,0.17,1.437,N
M,0.635,0.155,1.3635,N
F,0.64,0.195,1.1435,P
M,0.64,0.17,1.4545,P
M,0.66,0.18,1.478,N
F,0.665,0.165,1.6885,N
F,0.715,0.23,2.0725,N
M,0.72,0.2,1.787,N
F,0.725,0.185,1.523,P
I,0.165,0.05,0.021,P
I,0.21,0.055,0.0455,P
I,0.355,0.085,0.2435,P
I,0.4,0.085,0.2675,P
I,0.4,0.1,0.258,P
I,0.4,0.11,0.2985,P
I,0.435,0.11,0.411,P
I,0.44,0.11,0.38,P
I,0.45,0.105,0.4385,P
I,0.465,0.105,0.4015,P
I,0.47,0.145,0.4485,P
I,0.47,0.115,0.4155,P
I,0.475,0.16,0.7095,P
I,0.485,0.115,0.637,P
F,0.505,0.16,1.1155,P
I,0.51,0.13,0.599,P
I,0.52,0.13,0.5345,P
F,0.53,0.14,0.627,P
M,0.535,0.16,0.7465,N
M,0.55,0.16,0.985,P
M,0.555,0.145,0.85,P
M,0.555,0.15,0.838,P
F,0.555,0.135,0.812,P
M,0.56,0.13,0.7615,P
M,0.575,0.145,0.87,P
F,0.585,0.145,0.9835,P
M,0.59,0.145,0.929,N
F,0.595,0.165,1.0155,P
M,0.6,0.145,0.939,P
M,0.6,0.16,1.164,N
M,0.61,0.175,1.214,N
F,0.615,0.19,1.1345,N
F,0.62,0.18,1.233,N
M,0.625,0.18,1.0815,N
M,0.625,0.175,1.179,P
F,0.64,0.165,1.1635,N
F,0.64,0.175,1.1545,P
F,0.645,0.175,1.3345,N
M,0.65,0.18,1.469,P
M,0.655,0.18,1.492,N
F,0.655,0.175,1.5585,N
F,0.66,0.175,1.3275,P
M,0.67,0.18,1.6615,N
F,0.69,0.19,1.492,N
F,0.7,0.2,1.7365,N
F,0.7,0.175,1.6605,N
M,0.71,0.195,1.348,N
M,0.715,0.18,1.7405,N
F,0.72,0.185,1.7185,N
I,0.215,0.055,0.041,P
I,0.24,0.06,0.0655,P
I,0.26,0.07,0.097,P
I,0.32,0.085,0.131,P
I,0.33,0.085,0.1695,P
I,0.335,0.085,0.192,P
I,0.35,0.09,0.1765,P
I,0.35,0.085,0.1735,P
I,0.36,0.075,0.1785,P
I,0.36,0.09,0.2055,P
I,0.365,0.09,0.2345,P
I,0.38,0.09,0.2305,P
I,0.4,0.115,0.314,P
I,0.4,0.09,0.33,P
I,0.4,0.1,0.2775,P
I,0.425,0.11,0.405,P
I,0.43,0.105,0.309,P
M,0.435,0.11,0.4385,P
I,0.435,0.12,0.396,P
I,0.445,0.095,0.3615,P
I,0.45,0.11,0.514,P
I,0.455,0.11,0.4265,P
I,0.46,0.09,0.384,P
I,0.475,0.125,0.4865,P
I,0.475,0.135,0.4355,P
I,0.475,0.115,0.498,P
I,0.48,0.125,0.494,P
F,0.495,0.12,0.594,P
I,0.5,0.125,0.528,P
M,0.505,0.115,0.5585,P
I,0.515,0.135,0.636,P
I,0.525,0.105,0.567,P
I,0.53,0.13,0.6615,P
I,0.53,0.13,0.658,P
M,0.535,0.135,0.78,P
I,0.535,0.13,0.6075,P
I,0.54,0.135,0.7025,P
I,0.55,0.155,0.8725,N
F,0.565,0.175,1.2365,N
M,0.57,0.155,1.186,N
I,0.57,0.13,0.7745,P
F,0.57,0.16,0.8875,P
I,0.575,0.155,0.8725,P
I,0.575,0.125,0.8515,P
F,0.575,0.16,0.895,P
M,0.575,0.155,0.886,P
I,0.58,0.14,0.9265,N
I,0.58,0.14,0.8295,N
I,0.58,0.15,0.907,N
M,0.58,0.165,1.041,P
F,0.585,0.165,0.9355,P
F,0.585,0.165,1.058,P
F,0.595,0.145,0.7955,N
F,0.6,0.17,1.0805,P
M,0.6,0.15,0.928,P
F,0.6,0.155,1.059,N
M,0.6,0.23,1.157,N
F,0.6,0.17,1.088,N
F,0.6,0.145,0.776,P
F,0.62,0.165,1.043,N
M,0.625,0.16,1.1415,P
F,0.625,0.16,1.3335,N
F,0.625,0.175,1.273,P
M,0.625,0.165,1.1835,N
M,0.625,0.16,1.2135,P
I,0.63,0.15,1.0315,N
M,0.635,0.17,1.3695,N
M,0.65,0.185,1.3745,N
M,0.65,0.18,1.463,N
F,0.65,0.195,1.6275,N
F,0.65,0.165,1.3875,P
M,0.655,0.16,1.46,N
F,0.655,0.165,1.2835,P
F,0.66,0.155,1.3765,N
M,0.66,0.2,1.6465,N
M,0.675,0.145,1.265,N
M,0.685,0.17,1.56,N
M,0.715,0.18,1.6,N
M,0.735,0.22,2.333,N
I,0.175,0.04,0.028,P
I,0.37,0.095,0.226,P
I,0.395,0.09,0.2855,P
I,0.42,0.11,0.325,P
I,0.455,0.11,0.514,P
I,0.495,0.115,0.5755,P
F,0.51,0.11,0.5805,P
M,0.515,0.14,0.678,P
M,0.545,0.155,0.8035,P
F,0.555,0.12,0.913,P
M,0.58,0.16,0.8675,P
F,0.59,0.17,1.0425,N
M,0.6,0.18,1.14,N
F,0.61,0.17,1.3475,N
M,0.615,0.155,1.0735,N
M,0.615,0.19,1.4335,P
M,0.615,0.2,1.304,N
M,0.62,0.16,0.9505,P
M,0.63,0.17,1.385,N
F,0.64,0.17,1.12,N
F,0.64,0.17,1.2645,P
F,0.655,0.17,1.275,P
M,0.655,0.165,1.27,N
M,0.66,0.175,1.583,N
F,0.665,0.175,1.4355,P
F,0.67,0.195,1.42,N
M,0.69,0.19,1.5955,N
M,0.715,0.2,1.89,N
F,0.735,0.225,2.037,N
I,0.27,0.05,0.084,P
I,0.285,0.07,0.1005,P
I,0.295,0.085,0.1285,P
I,0.3,0.075,0.1345,P
I,0.3,0.065,0.1195,P
I,0.36,0.085,0.1895,P
I,0.37,0.095,0.257,P
I,0.39,0.09,0.2745,P
I,0.435,0.1,0.342,P
I,0.44,0.105,0.344,P
I,0.44,0.095,0.3275,P
I,0.445,0.12,0.4035,P
I,0.465,0.115,0.4075,P
I,0.465,0.12,0.4975,P
I,0.47,0.12,0.3685,P
I,0.475,0.105,0.4175,P
I,0.475,0.1,0.4425,P
I,0.475,0.125,0.4225,P
I,0.485,0.125,0.426,P
I,0.49,0.12,0.511,P
I,0.515,0.13,0.573,P
I,0.52,0.14,0.6385,P
I,0.525,0.125,0.657,N
F,0.525,0.14,0.8735,N
I,0.53,0.13,0.781,P
I,0.53,0.14,0.6765,P
M,0.53,0.125,0.769,P
I,0.53,0.125,0.6235,N
M,0.535,0.14,0.7315,P
I,0.535,0.155,0.8075,N
M,0.545,0.14,0.737,P
F,0.545,0.125,0.654,N
I,0.55,0.15,0.7915,N
I,0.55,0.14,0.753,P
I,0.55,0.135,0.717,P
I,0.555,0.15,0.783,P
I,0.575,0.145,0.872,P
I,0.575,0.15,0.983,P
F,0.585,0.155,1.034,N
F,0.585,0.145,0.9855,N
I,0.585,0.14,0.7635,P
M,0.59,0.135,0.9895,P
I,0.595,0.135,0.9365,N
F,0.595,0.135,0.964,N
F,0.595,0.155,1.0455,N
F,0.595,0.165,1.081,N
M,0.6,0.16,1.012,N
F,0.6,0.16,1.122,N
M,0.605,0.165,1.1245,N
F,0.605,0.15,1.1345,N
M,0.61,0.19,1.0805,N
F,0.61,0.165,1.0835,P
M,0.615,0.175,1.242,N
M,0.62,0.18,1.3915,N
M,0.62,0.155,1.085,N
I,0.62,0.155,0.966,N
M,0.62,0.165,1.0855,N
F,0.625,0.135,1.3025,N
I,0.625,0.16,1.15,N
I,0.63,0.17,1.217,N
F,0.63,0.195,1.306,P
M,0.64,0.175,1.273,N
M,0.645,0.19,1.4865,N
M,0.65,0.17,1.3655,N
M,0.65,0.17,1.276,N
M,0.65,0.16,1.2075,N
F,0.65,0.195,1.281,N
M,0.65,0.205,1.4275,N
M,0.65,0.175,1.155,N
F,0.65,0.175,1.35,N
M,0.65,0.19,1.3685,N
F,0.66,0.17,1.431,N
M,0.66,0.18,1.261,N
F,0.665,0.195,1.764,N
F,0.67,0.155,1.278,N
M,0.67,0.195,1.217,N
F,0.67,0.2,1.46,P
F,0.675,0.185,1.5575,N
M,0.675,0.17,1.527,N
F,0.675,0.195,1.4985,P
M,0.685,0.19,1.885,N
M,0.685,0.175,1.432,N
M,0.705,0.21,1.4385,N
F,0.705,0.17,1.564,N
M,0.71,0.175,2.14,N
F,0.725,0.185,1.792,N
M,0.78,0.21,2.548,N
I,0.235,0.075,0.1585,P
I,0.35,0.1,0.4015,P
I,0.36,0.115,0.465,P
I,0.38,0.095,0.2885,P
F,0.38,0.115,0.6475,P
M,0.43,0.13,0.6485,P
I,0.465,0.105,0.452,P
I,0.47,0.12,0.4915,P
F,0.485,0.15,0.9145,P
M,0.495,0.155,0.976,P
I,0.5,0.145,0.7865,P
M,0.505,0.15,0.775,P
I,0.51,0.15,0.8415,N
M,0.51,0.135,0.681,P
M,0.515,0.115,0.6145,P
F,0.55,0.18,1.1655,P
F,0.575,0.19,1.764,N
M,0.605,0.16,1.1215,N
M,0.615,0.165,1.167,N
M,0.615,0.15,1.0375,P
M,0.625,0.18,1.223,N
M,0.625,0.15,1.124,P
F,0.635,0.17,1.2635,P
F,0.65,0.165,1.238,P
F,0.65,0.17,1.4045,N
F,0.67,0.195,1.37,N
F,0.695,0.205,1.8185,N
F,0.705,0.195,1.7525,N
I,0.275,0.065,0.101,P
I,0.285,0.07,0.106,P
I,0.36,0.085,0.1865,P
I,0.385,0.1,0.2575,P
I,0.4,0.1,0.3225,P
I,0.43,0.095,0.32,P
I,0.435,0.11,0.4155,P
I,0.45,0.115,0.3935,P
I,0.475,0.135,0.4775,P
I,0.475,0.11,0.452,P
I,0.485,0.14,0.5065,P
I,0.51,0.105,0.5525,P
I,0.515,0.12,0.565,P
I,0.52,0.14,0.699,N
I,0.525,0.14,0.6055,P
M,0.53,0.155,0.7905,P
M,0.53,0.13,0.702,P
M,0.53,0.135,0.675,N
I,0.53,0.115,0.475,P
I,0.53,0.15,0.612,N
I,0.535,0.145,0.705,N
I,0.535,0.135,0.728,P
F,0.555,0.14,0.846,N
M,0.555,0.16,0.86,N
M,0.56,0.145,0.8875,P
F,0.56,0.145,0.898,P
I,0.565,0.125,0.6545,P
I,0.575,0.145,0.795,N
M,0.575,0.12,1.0535,P
F,0.575,0.15,0.927,P
I,0.58,0.14,0.701,P
M,0.58,0.155,0.8275,P
F,0.585,0.155,0.9845,N
M,0.585,0.145,0.9565,P
I,0.59,0.125,0.86,P
M,0.595,0.185,1.1785,N
M,0.615,0.185,1.2205,N
M,0.615,0.13,0.9685,N
F,0.62,0.175,1.107,N
I,0.62,0.18,1.1305,N
M,0.62,0.155,1.2555,N
M,0.625,0.155,1.177,P
M,0.625,0.185,1.2425,N
M,0.63,0.16,1.09,N
F,0.63,0.15,1.072,P
F,0.645,0.155,1.129,N
F,0.65,0.175,1.2075,N
F,0.65,0.175,1.227,N
F,0.655,0.175,1.472,N
F,0.665,0.18,1.5785,N
M,0.67,0.175,1.4755,N
M,0.675,0.175,1.5545,N
F,0.675,0.21,1.593,N
M,0.695,0.2,1.8995,N
F,0.695,0.175,1.361,N
F,0.705,0.17,1.4575,N
M,0.74,0.205,2.381,N
I,0.205,0.045,0.0495,P
I,0.305,0.075,0.1455,P
I,0.32,0.06,0.129,P
I,0.355,0.1,0.2255,P
M,0.425,0.11,0.359,P
I,0.425,0.095,0.3505,P
F,0.45,0.115,0.5885,P
M,0.515,0.13,0.623,N
F,0.52,0.135,0.5375,P
I,0.525,0.125,0.5655,P
M,0.555,0.13,0.8625,P
F,0.61,0.17,1.137,N
I,0.35,0.095,0.221,P
I,0.38,0.095,0.2425,P
I,0.46,0.1,0.386,P
M,0.465,0.12,0.5315,P
M,0.475,0.12,0.562,P
M,0.565,0.14,0.836,P
M,0.57,0.14,0.9275,P
M,0.57,0.145,0.8815,N
M,0.595,0.155,1.03,N
F,0.605,0.175,1.1685,P
F,0.615,0.135,1.059,P
M,0.62,0.17,1.127,P
M,0.625,0.17,1.1665,N
F,0.68,0.185,1.541,N
M,0.68,0.195,1.7825,N
M,0.68,0.175,1.543,N
F,0.71,0.17,1.47,N
M,0.5,0.12,0.6335,N
F,0.545,0.175,0.754,N
F,0.46,0.115,0.4485,N
M,0.535,0.15,0.8105,N
M,0.335,0.075,0.22,P
F,0.425,0.1,0.4425,P
M,0.41,0.1,0.3555,P
I,0.17,0.035,0.034,P
I,0.335,0.095,0.185,P
M,0.52,0.125,0.79,P
F,0.53,0.145,0.8255,P
M,0.5,0.125,0.62,N
F,0.615,0.145,0.9525,P
M,0.575,0.16,0.955,N
M,0.57,0.155,0.91,N
M,0.455,0.105,0.416,N
I,0.37,0.085,0.2045,P
M,0.445,0.125,0.515,P
F,0.675,0.22,1.604,N
M,0.385,0.115,0.3435,P
F,0.375,0.11,0.3005,P
M,0.56,0.13,0.8255,N
M,0.55,0.15,0.785,N
F,0.57,0.155,0.9685,P
F,0.485,0.155,0.731,N
M,0.41,0.115,0.4405,P
I,0.335,0.085,0.1785,P
M,0.655,0.2,1.373,N
F,0.565,0.165,0.9765,N
F,0.57,0.19,1.018,P
F,0.55,0.15,1.082,N
F,0.63,0.175,1.423,N
M,0.475,0.125,0.655,N
F,0.655,0.18,1.4155,N
I,0.32,0.065,0.1385,P
M,0.525,0.165,0.782,N
F,0.525,0.165,0.717,N
F,0.5,0.13,0.6355,N
F,0.44,0.135,0.3975,P
F,0.49,0.16,0.656,P
M,0.545,0.165,0.744,N
F,0.45,0.11,0.447,N
F,0.515,0.115,0.578,P
I,0.33,0.075,0.1405,P
F,0.525,0.15,0.708,N
M,0.295,0.09,0.1385,P
M,0.545,0.16,0.8615,N
F,0.645,0.225,1.626,N
M,0.45,0.115,0.478,N
F,0.61,0.17,1.1775,N
I,0.38,0.1,0.286,P
F,0.565,0.13,1.058,N
F,0.67,0.16,1.5415,N
M,0.54,0.12,0.817,N
I,0.29,0.075,0.152,P
I,0.41,0.105,0.335,P
F,0.46,0.12,0.4915,P
F,0.56,0.155,0.9705,P
F,0.575,0.1,0.9315,N
M,0.62,0.2,1.221,N
M,0.515,0.14,0.7365,N
F,0.56,0.18,0.97,N
F,0.5,0.15,0.8085,N
I,0.435,0.125,0.4075,P
M,0.495,0.135,0.6295,N
F,0.595,0.18,1.053,N
M,0.76,0.19,1.829,N
F,0.615,0.165,1.1765,N
F,0.565,0.15,0.8765,N
I,0.14,0.035,0.0145,P
M,0.445,0.14,0.476,N
F,0.525,0.125,0.813,N
I,0.16,0.02,0.018,P
M,0.635,0.235,1.064,N
M,0.575,0.165,0.853,N
M,0.38,0.095,0.219,P
M,0.245,0.065,0.0635,P
I,0.48,0.15,0.6275,N
I,0.455,0.135,0.441,P
F,0.455,0.125,0.458,N
M,0.455,0.135,0.4745,N
I,0.355,0.1,0.216,N
I,0.52,0.14,0.6765,N
I,0.54,0.145,0.757,N
I,0.52,0.14,0.7325,N
I,0.56,0.165,1.0285,N
F,0.52,0.16,0.712,N
I,0.615,0.19,1.066,N
F,0.645,0.19,1.3065,N
I,0.565,0.135,0.8545,N
M,0.295,0.085,0.125,P
M,0.375,0.095,0.2225,N
I,0.525,0.14,0.6955,N
M,0.395,0.08,0.266,N
F,0.5,0.165,0.7105,N
F,0.47,0.115,0.487,P
I,0.58,0.16,0.728,N
I,0.5,0.155,0.6675,N
I,0.725,0.22,2.0495,N
F,0.65,0.215,1.498,N
F,0.67,0.185,1.597,N
I,0.55,0.165,0.8605,N
F,0.49,0.115,0.541,N
I,0.235,0.06,0.058,P
I,0.235,0.08,0.0645,P
M,0.52,0.115,0.77,N
F,0.475,0.115,0.541,N
M,0.53,0.11,0.739,N
F,0.35,0.065,0.205,N
M,0.555,0.145,0.8695,N
M,0.505,0.105,0.6555,N
F,0.54,0.16,1.0905,N
F,0.525,0.115,0.6295,N
M,0.55,0.175,1.0985,N
M,0.55,0.16,0.991,N
I,0.235,0.065,0.0615,P
M,0.525,0.165,0.8005,N
M,0.475,0.14,0.6175,N
F,0.53,0.165,0.772,N
F,0.525,0.15,0.7155,N
F,0.53,0.13,0.717,N
F,0.465,0.11,0.6355,N
I,0.315,0.08,0.18,P
I,0.465,0.12,0.5805,P
M,0.485,0.105,0.556,P
I,0.49,0.12,0.591,P
F,0.515,0.14,0.686,N
F,0.555,0.155,1.016,N
F,0.61,0.18,1.438,P
F,0.68,0.19,1.807,N
M,0.69,0.195,1.777,N
M,0.695,0.205,2.173,N
F,0.72,0.195,2.1505,N
I,0.27,0.075,0.118,P
I,0.27,0.06,0.099,P
I,0.295,0.07,0.1365,P
I,0.295,0.065,0.1295,P
I,0.315,0.07,0.164,P
I,0.375,0.095,0.2875,P
I,0.38,0.09,0.277,P
I,0.385,0.09,0.248,P
I,0.4,0.095,0.252,P
M,0.415,0.12,0.4015,P
I,0.415,0.1,0.3905,P
I,0.42,0.115,0.409,P
I,0.44,0.135,0.4095,P
I,0.45,0.135,0.494,P
I,0.475,0.12,0.4905,P
M,0.485,0.12,0.599,P
M,0.495,0.115,0.6245,P
F,0.525,0.115,0.7745,P
M,0.565,0.15,0.9795,P
I,0.58,0.15,0.8915,P
F,0.585,0.125,0.874,P
M,0.6,0.155,1.262,N
M,0.63,0.185,1.21,N
F,0.645,0.17,1.37,N
F,0.655,0.185,1.759,N
M,0.665,0.165,1.3855,P
F,0.67,0.195,1.8065,N
M,0.67,0.2,1.5945,N
M,0.685,0.18,1.4545,P
M,0.7,0.23,2.003,N
M,0.72,0.235,2.2385,N
I,0.185,0.045,0.032,P
I,0.245,0.055,0.0785,P
I,0.315,0.0,0.134,P
I,0.36,0.09,0.2075,P
I,0.375,0.08,0.2235,P
I,0.415,0.095,0.34,P
I,0.455,0.135,0.5365,P
I,0.48,0.105,0.635,P
I,0.485,0.125,0.562,P
I,0.51,0.125,0.597,P
M,0.52,0.125,0.5815,N
F,0.555,0.14,0.7545,P
M,0.585,0.15,0.98,P
F,0.585,0.15,1.0035,N
M,0.585,0.155,1.133,N
M,0.61,0.16,1.146,P
M,0.61,0.15,1.142,P
M,0.615,0.17,1.12,P
F,0.62,0.14,1.011,P
M,0.625,0.175,1.131,P
M,0.625,0.175,1.065,N
M,0.635,0.145,1.181,N
F,0.64,0.175,1.382,P
M,0.66,0.19,1.4385,N
M,0.66,0.155,1.2275,P
M,0.66,0.155,1.4415,N
F,0.68,0.175,1.473,N
F,0.69,0.195,1.658,N
M,0.72,0.195,1.7475,N
I,0.275,0.07,0.096,P
I,0.33,0.065,0.1445,P
I,0.33,0.085,0.1965,P
I,0.365,0.09,0.196,P
I,0.365,0.09,0.2155,P
I,0.42,0.1,0.2805,P
I,0.435,0.11,0.334,P
I,0.435,0.1,0.366,P
I,0.44,0.11,0.4965,P
I,0.485,0.09,0.651,P
I,0.495,0.125,0.5125,N
M,0.51,0.125,0.6925,P
I,0.52,0.14,0.5995,N
I,0.54,0.14,0.74,P
I,0.54,0.155,0.702,N
I,0.55,0.125,0.672,N
I,0.56,0.155,0.811,N
F,0.575,0.12,0.9585,N
I,0.575,0.15,0.858,N
F,0.575,0.165,0.9575,N
F,0.58,0.135,0.926,P
F,0.58,0.155,0.873,N
M,0.59,0.16,0.998,P
M,0.6,0.155,0.6655,N
M,0.62,0.145,1.003,N
F,0.625,0.16,1.234,N
M,0.625,0.155,1.025,P
M,0.625,0.175,1.2935,P
M,0.625,0.175,1.0565,N
M,0.625,0.145,1.7855,N
F,0.625,0.165,1.2255,N
F,0.635,0.18,1.2565,N
F,0.645,0.15,1.159,P
M,0.645,0.165,1.403,N
F,0.69,0.185,1.826,N
F,0.695,0.185,1.7715,N
M,0.515,0.12,0.6125,P
I,0.545,0.13,0.658,P
M,0.62,0.145,0.911,N
M,0.63,0.15,1.1955,P
F,0.63,0.16,1.336,N
F,0.64,0.18,1.36,P
I,0.37,0.08,0.2325,P
I,0.395,0.085,0.317,P
I,0.4,0.115,0.318,P
I,0.41,0.1,0.2645,P
I,0.455,0.105,0.4055,P
I,0.48,0.125,0.524,P
I,0.485,0.11,0.464,P
I,0.5,0.12,0.439,P
I,0.515,0.125,0.5805,P
I,0.52,0.14,0.622,P
M,0.545,0.15,0.7805,P
I,0.545,0.14,0.772,P
I,0.55,0.125,0.741,P
M,0.55,0.18,0.8265,N
M,0.55,0.13,0.7275,P
I,0.555,0.125,0.7005,P
M,0.56,0.145,0.9355,N
I,0.565,0.15,1.1815,P
M,0.57,0.16,1.0145,N
F,0.575,0.17,1.1,N
M,0.585,0.16,1.218,N
M,0.59,0.155,0.874,P
I,0.595,0.155,0.984,N
M,0.6,0.13,1.0105,P
M,0.61,0.155,1.0765,P
M,0.615,0.205,1.337,N
M,0.625,0.18,1.3705,N
F,0.625,0.19,1.7015,N
M,0.63,0.18,1.2435,N
M,0.63,0.175,1.4135,N
F,0.635,0.155,1.073,N
F,0.635,0.175,1.477,N
M,0.635,0.18,1.2915,P
F,0.65,0.16,1.3105,P
M,0.67,0.18,1.4915,P
F,0.675,0.175,1.494,P
F,0.675,0.15,1.1965,N
M,0.68,0.185,1.672,N
M,0.7,0.215,1.9125,N
F,0.71,0.175,1.907,N
F,0.715,0.18,1.79,P
F,0.72,0.205,1.7495,N
I,0.42,0.1,0.3415,P
I,0.48,0.1,0.519,P
M,0.48,0.13,0.5305,P
M,0.51,0.155,1.2825,P
I,0.515,0.14,0.7165,P
F,0.56,0.18,1.6645,P
I,0.56,0.14,0.837,P
F,0.57,0.15,0.9645,P
F,0.605,0.155,1.1,N
M,0.625,0.16,1.2415,P
F,0.64,0.175,1.3185,P
M,0.65,0.185,1.3455,P
I,0.3,0.05,0.1185,P
M,0.35,0.09,0.197,P
I,0.455,0.13,0.4725,P
I,0.46,0.11,0.4495,P
I,0.49,0.115,0.557,P
I,0.5,0.12,0.516,P
I,0.54,0.135,0.709,P
M,0.55,0.145,0.7385,N
I,0.55,0.11,0.7935,N
M,0.555,0.145,0.9205,P
I,0.57,0.14,0.7655,N
M,0.58,0.14,0.824,N
I,0.58,0.145,0.83,N
I,0.585,0.17,0.985,N
M,0.585,0.15,0.997,N
F,0.595,0.14,0.914,P
F,0.6,0.17,1.13,N
F,0.615,0.155,1.0805,P
M,0.63,0.155,1.105,N
M,0.63,0.155,1.229,N
F,0.635,0.175,1.2355,N
F,0.645,0.19,1.2395,N
F,0.65,0.165,1.357,N
M,0.655,0.18,1.402,N
F,0.655,0.22,1.359,N
M,0.67,0.19,1.669,N
M,0.67,0.2,1.7405,N
M,0.695,0.21,1.51,N
M,0.695,0.195,1.6645,N
M,0.77,0.175,2.0505,N
I,0.28,0.07,0.124,P
I,0.33,0.08,0.14,P
I,0.35,0.075,0.1695,P
I,0.37,0.09,0.218,P
I,0.43,0.115,0.384,P
I,0.435,0.095,0.393,P
I,0.44,0.11,0.3805,P
M,0.475,0.11,0.4895,P
M,0.475,0.14,0.5135,P
I,0.48,0.11,0.4495,P
F,0.56,0.135,0.8025,P
F,0.585,0.165,1.053,N
F,0.585,0.17,0.9945,N
M,0.385,0.1,0.3175,P
I,0.39,0.085,0.344,P
I,0.39,0.1,0.2845,P
I,0.405,0.085,0.3035,P
I,0.475,0.115,0.499,N
M,0.5,0.125,0.577,P
F,0.515,0.125,0.615,P
M,0.52,0.165,0.791,N
M,0.55,0.13,0.8395,N
M,0.56,0.155,0.8675,P
F,0.565,0.165,0.887,N
M,0.59,0.135,0.966,N
M,0.6,0.205,1.176,P
F,0.625,0.15,1.0945,N
M,0.71,0.195,1.9485,N
